sample_id,answerable,confidence,proposed_doc_id,alt_doc_id,검수,question_preview,reason,,,,,,,,,
faq-075,X,high,,,,"안녕하세요, <서비스명> 사용 중 개선되면 좋을 것 같은 부분이 있어 연락드렸습니다. 참여자를 선택하면 목록이 사라지지 않고 다른 부분을 클릭해야 사라지는데, 이 부분이 조금 불편한 것 같습니다! 날짜같은 경우는 날짜를 선택하면 달력이 사라지는데, 참여자 선택도 이런식","질문은 특정 기능 개선 요청으로, 문서 목록에 관련된 가이드 문서가 없고, 일반적인 사용법/기능/정책 질문이 아닙니다.",,,,,,,,,
faq-076,X,high,,,,"화면의 가로폭을 줄이게 되면 우측 상단에 ""작업보관함""버튼과 ""휴지통"" 버튼 UI가 깨져요~ 기능이 안되는 건 아니지만 말씀 드려야할 것 같아서 말씀드립니다~ 넵 :) 감사합니다!","질문은 UI 깨짐 현상에 대한 것으로, 이는 특정 계정에 대한 개별 처리 요청에 해당하며, 문서 목록에 관련 문서가 전혀 없는 질문입니다.",,,,,,,,,
faq-077,X,high,,,,"안녕하세요, <조직명>의 <개인명>입니다. 항상 <서비스명> 서비스를 잘 활용할 수 있도록 도움 주셔서 진심으로 감사드립니다. <개인명>, <직책>께서 지난번 저희 팀에 무료 사용을 허락해주신 덕분에, 현재까지 <그룹정보> 운영에 큰 도움이 되었습니다. 이번에 저희는 ","The question involves a specific request for assistance with workspace limitations and billing, which is not covered by general guide documents.",,,,,,,,,
faq-079,O,high,guide/미팅/미팅-생성,guide/미팅/개요,,회의록 작성하는 곳은 있나요?,"회의록 작성은 미팅 페이지에서 가능하다는 상담 답변에 따라, 미팅 생성 및 관리에 대한 문서가 관련이 있을 것으로 판단됩니다.",,,,,,,,,
faq-080,X,high,,,,1. 타임라인 뷰 만들 계획이 있으신가요 2. 캘린더 뷰에서 월간을 기본 보기로 설정할 수 있는 기능이 구성되면 좋겠습니다 리스트 뷰에서는 프로젝트를 선택하면 하위 항목이 다 선택 가능했는데 보관함에서는 프로젝트를 선택해도 하위 항목들이 선택이 안되네요 답변 감사드립니,"질문은 특정 기능 개발 계획에 대한 것으로, 현재 문서 목록에 관련된 문서가 없습니다.",,,,,,,,,
faq-081,X,high,,,,미팅 페이지에서 페이지 너비를 브라우저 창 크기만큼 확장할 수 있게 되면 좋을 것 같습니다. 라벨을 여러개 구성할 경우 가로 스크롤선이 나오는데 이 부분이 구성하는 때 불편하게 느껴지는 것 같습니다 백로그 탭에서 창 크기를 변경할 때 이름을 제외한 나머지의 동작이 부자,"질문은 특정 계정에 대한 개별 처리 요청 및 개선 요청으로, 일반적인 사용법/기능/정책 질문이 아니며, 문서 목록에 관련 문서가 전혀 없습니다.",,,,,,,,,
faq-082,X,high,,,,정기결제 취소됐는지 확인부탁드립니다. 추가로 탈퇴하고싶은데 어떻게 해야하나요? <개인명> / <이메일> 입니다,"질문은 특정 계정의 결제 취소 및 탈퇴 요청으로, 개별 처리 요청에 해당하여 가이드 문서로 답변할 수 없습니다.",,,,,,,,,
faq-083,O,high,guide/구독-및-결제/구독-변경-또는-취소,,,구독취소하는방법,"질문은 구독 취소 방법에 대한 것으로, '구독 변경 또는 취소' 문서가 관련 정보를 제공할 가능성이 높습니다.",,,,,,,,,
faq-084,O,high,guide/구독-및-결제/구독-변경-또는-취소,,,<서비스명> 구독 해지 어떻게 하면 될까요?,구독 해지 방법은 '구독 및 결제 > 구독 변경 또는 취소' 문서에 포함될 가능성이 높습니다.,,,,,,,,,
faq-085,O,high,guide/구독-및-결제/구독-변경-또는-취소,guide/구독-및-결제/결제-및-청구-관리,,"안녕하세요 <프로그램명> 프로젝트 이후 <서비스명>를 사용하고 싶지 않아 플랜을 취소했는데, <날짜> 만료로 뜹니다. 바로 취소할 수는 없나요? 그리고 월별 플랜으로 했던 것 같은데 왜 <연도>까지 됬는지 모르겠습니다 <프로그램명>에서 기본 제공되던 플랜은 어떻게 되나","질문은 플랜 취소 및 만료 관련으로, 구독 변경 또는 취소에 대한 가이드 문서가 가장 적합합니다.",,,,,,,,,
faq-086,X,high,,,,<외부서비스명> 레포를 연동 후 <외부서비스명> action을 설정하려고 해 근데 <서비스명>에서 에러페이지를 보여주네 이유가 뭐야? 해당 버튼을 눌렀을 때 다음과 같은 화면이 뜹니다,"질문은 특정 계정의 오류 문제로, 문서 목록에 관련 문서가 없고 개별 지원이 필요합니다.",,,,,,,,,
faq-087,X,high,,,,"혹시 연동 가능한 MCP, 앱내 채팅이 있나요 ? 월 <금액> 요금제 없이는 <서비스명> 체험은 안되는건가요 ? 감사합니다 ~","질문은 MCP 연동 및 요금제 관련 사항으로, 문서 목록에 관련된 문서가 없어 가이드 문서로 답변할 수 없습니다.",,,,,,,,,
faq-088,X,high,,,,안녕하세요. 초대를 받은 이메일 주소<개인정보> 아직 초대만 받고 비밀번호는 지정한 적이 없는데 가입되었다고 나와서요! 네 해결되었습니다 감사합니다!!,"질문은 특정 계정의 회원가입 오류에 대한 개별 처리 요청으로, 일반적인 사용법/기능/정책 질문이 아니며 관련 문서가 없습니다.",,,,,,,,,
faq-089,O,high,guide/구독-및-결제/구독-변경-또는-취소,guide/구독-및-결제/개요,,<프로그램명> <프로그램명>로 참여했었는데 구독비용 발생안하게 하려고 취소했는데 이번 년도까지는 무료로 사용가능한걸까요?,"질문은 구독 취소와 무료 사용 가능 여부에 관한 것으로, 구독 변경 또는 취소에 대한 가이드 문서가 가장 적합합니다.",,,,,,,,,
faq-090,X,high,,,,회원가입안됨,"회원가입 문제는 특정 계정에 대한 개별 처리 요청으로, 문서 목록에 관련 문서가 없고 일반적인 가이드 문서로 답변할 수 없는 질문입니다.",,,,,,,,,
faq-091,O,high,guide/워크스페이스/워크스페이스-설정,guide/팀/팀-설정,,안녕하세요? 감사히 <서비스명>를 잘 사용하고 있는 팀 <조직명>입니다! 워크스페이스와 관련하여 여쭤볼 말씀이 있어서 연락드립니다. 이번에 새로 멤버들을 충원하게 되면서 새로이 워크스페이스를 추가하는 과정에서 제목을 다른 것으로 바꾸고 싶어서 여러 개의 워크스페이스를 ,"워크스페이스 삭제 및 이름 변경, 넘버링 코드 변경 관련 질문은 워크스페이스 설정과 팀 설정 문서에 답이 있을 가능성이 높습니다.",,,,,,,,,
faq-092,X,high,,,,혹시 이 텍스트를 제가 실수로 넣은것일까요? 팀으 새로 생성해봐도 지속적으로 나오는 것 같습니다! 감사합니다!🙇🏻‍♂️,"질문은 특정 계정의 오류 문제로, 가이드 문서로 답변할 수 없는 개별 처리 요청에 해당합니다.",,,,,,,,,
faq-093,X,high,,,,<서비스명> <외부서비스명>계정연동되어있는데 연동해제하고 아예 회원탈퇴식으로 하고 싶어요,"질문은 계정 연동 해제 및 회원 탈퇴와 관련된 개별 처리 요청으로, 문서 목록에 관련 문서가 없고 일반적인 사용법/기능/정책 질문이 아닙니다.",,,,,,,,,
faq-094,O,high,guide/스프린트/스프린트-설정,guide/스프린트/스프린트-기간,,"혹시 스프린트 일정과 같은 전체가 확인해야할 일정을 등록하려면 어떻게 하나요? 카테고리에서 스프린트랑 항목은 찾았는데, 혹시 이 부분이 표출이 어디에 표출되는지 궁금합니다. 현재는 칸반보드로 작업을 보고있습니다. 스프린트 일정을 설정했는데, 작업에서 추가하는 것 외에 ","질문은 스프린트 일정 등록 및 표출에 관한 것으로, 스프린트 설정과 관련된 문서가 가장 적합합니다.",,,,,,,,,
faq-095,X,high,,,,연구실에서 작게 하는 프로젝트 할때 개인적으로 한번 써보려고 AI 온보딩 써봤는데 이렇게 나오더라고요! 연구실 사례는 없을 것 같아서 공유드립니다 temperature처럼 계획 구체적으로 할거냐. 조금 대략적으로 할거냐. 조절할 수 있는 기능도 있으면 좋을 것 같습니다,"질문은 AI 온보딩 기능의 구체성 및 커스터마이징 가능성에 대한 피드백으로, 문서 목록에 관련된 가이드 문서가 없다.",,,,,,,,,
faq-096,X,high,,,,"안녕하세요. <서비스명>를 어제부터 본격적으로 사용해보려고 하는 팀입니다. 업무 분배, 일정 관리에 대해서는 정말 좋은 서비스라고 생각합니다. 혹시 기술문서나 위키 관리는 어떻게 하는게 좋을까요? <외부서비스명>과 연동해서 같이 쓰는것이 좋을까요? 혹시 좋은 방법이 있","질문은 기술문서 및 위키 관리 방법에 대한 것으로, 현재 문서 목록에는 관련된 가이드 문서가 없습니다.",,,,,,,,,
faq-097,X,high,,,,계정 삭제 좀 부탁드립니다. 현재 사이트 내에서 계정 삭제 마지막 부분에서 클릭이 되지 않습니다. <이메일> 입니다.,"계정 삭제 요청은 특정 계정에 대한 개별 처리 요청으로, 가이드 문서로 답할 수 있는 일반적인 사용법/기능/정책 질문이 아닙니다.",,,,,,,,,
faq-098,X,high,,,,"안녕하세요? 교육관련 앱을 만들고 있는 <조직명> 팀의 <개인명>이라고 합니다 ^^ <서비스명> 덕분에 팀 운영관리에 많은 도움을 받고 있습니다. 저희가 비영리로 운영하다보니 아무래도 비용 지출에 어려움이 <개인명>, <직책>이 사정을 들으시고 감사하게도 저희 팀에게 ","질문은 특정 계정에 대한 유료버전 무료 업그레이드 요청으로, 개별 처리 요청에 해당하여 가이드 문서로 답할 수 없습니다.",,faq-018,X,high,0,0,0,<행사·제휴 제안 원문 마스킹>,"The question is about a partnership proposal, which is not covered by any of the listed guide documents."
faq-099,X,high,,,,계정 삭제 안녕하세요 계정 삭제 부턱드리겠습니다 <이메일> 입니다 감사합니다,"계정 삭제는 특정 계정에 대한 개별 처리 요청으로, 일반적인 가이드 문서로 답할 수 있는 질문이 아닙니다.",,,,,,,,,
faq-100,X,high,,,,탈퇴하기 <이메일> 입니다,"회원 탈퇴와 관련된 문서는 목록에 없으며, 이는 개별 계정 처리 요청에 해당합니다.",,,,,,,,,
